 Projeção da População das Unidades da Federação por sexo, idade simples ou faixa-etária: 2000-2070 (edição 2024)
População residente por Unidade da Federação e Ano
Período:2019-2024
"Unidade da Federação";"2019";"2020";"2021";"2022";"2023";"2024"
"11 Rondônia";1712560;1722753;1729622;1734648;1740255;1746227
"12 Acre";857919;863657;868346;872566;876582;880631
"13 Amazonas";4073280;4121226;4160013;4199791;4240571;4281209
"14 Roraima";618125;640975;654972;673404;695270;716793
"15 Pará";8404430;8465192;8520153;8570045;8616120;8664306
"16 Amapá";779468;785533;790871;795457;799124;802837
"17 Tocantins";1525148;1537886;1548514;1557580;1567191;1577342
"21 Maranhão";6946725;6970988;6988154;6998087;7003234;7010960
"22 Piauí";3320228;3335863;3347856;3357043;3365881;3375646
"23 Ceará";9035631;9088929;9129520;9162955;9196672;9233656
"24 Rio Grande do Norte";3392434;3407618;3419382;3427955;3436278;3446071
"25 Paraíba";4037810;4064935;4087783;4106026;4124468;4145040
"26 Pernambuco";9396505;9438962;9470176;9493026;9514483;9539029
"27 Alagoas";3208704;3214823;3217819;3218381;3218607;3220104
"28 Sergipe";2241300;2254218;2264937;2273589;2281994;2291077
"29 Bahia";14693250;14748551;14788270;14811339;14828806;14850513
"31 Minas Gerais";20916751;21032009;21117017;21178401;21247401;21322691
"32 Espírito Santo";3970009;4001467;4027541;4050913;4076068;4102129
"33 Rio de Janeiro";17193919;17222305;17220455;17211760;17213813;17219679
"35 São Paulo";45306139;45523191;45651915;45736978;45850570;45973194
"41 Paraná";11468227;11560987;11630298;11686692;11753862;11824665
"42 Santa Catarina";7403723;7541975;7671648;7796817;7927212;8058441
"43 Rio Grande do Sul";11194346;11220286;11227789;11220506;11222292;11229915
"50 Mato Grosso do Sul";2777028;2806866;2831943;2854377;2878009;2901895
"51 Mato Grosso";3551996;3611987;3666669;3720967;3778389;3836399
"52 Goiás";6974736;7060290;7133954;7201254;7274463;7350483
"53 Distrito Federal";2899708;2921417;2938025;2952426;2967543;2982818
"Total";207900099;209164889;210103642;210862983;211695158;212583750
 Fonte:
 
 IBGE/Diretoria de Pesquisas. Coordenação de População e Indicadores Sociais. Gerência de Estudos e Análises da Dinâmica Demográfica.
 Projeção da população do Brasil e Unidades da Federação por sexo e idade para o período 2000-2070 (edição 2024)
 
