TÍTULO : BET - BANCO DE ESTRUTURAS TERRITORIAIS,...2,...3,...4,...5,...6,...7,...8,...9,...10
RELATÓRIO DE DIVISÃO TERRITORIAL BRASILEIRA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF: 99 - BRASIL,NA,NA,NA,NA,NA,NA,NA,NA,NA
DATA BASE: 31/12/2024,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF,Nome_UF,Região Geográfica Intermediária,Nome Região Geográfica Intermediária,Região Geográfica Imediata,Nome Região Geográfica Imediata,Município,Código Município Completo,Nome_Município,NA
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,00015,1100015,Alta Floresta D'Oeste,NA
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,00379,1100379,Alto Alegre dos Parecis,NA
11,Rondônia,1101,Porto Velho,110002,Ariquemes,00403,1100403,Alto Paraíso,NA
11,Rondônia,1102,Ji-Paraná,110004,Ji-Paraná,00346,1100346,Alvorada D'Oeste,NA
11,Rondônia,1101,Porto Velho,110002,Ariquemes,00023,1100023,Ariquemes,NA
11,Rondônia,1101,Porto Velho,110002,Ariquemes,00452,1100452,Buritis,NA
11,Rondônia,1102,Ji-Paraná,110006,Vilhena,00031,1100031,Cabixi,NA
11,Rondônia,1101,Porto Velho,110002,Ariquemes,00601,1100601,Cacaulândia,NA
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,00049,1100049,Cacoal,NA
11,Rondônia,1101,Porto Velho,110002,Ariquemes,00700,1100700,Campo Novo de Rondônia,NA
11,Rondônia,1101,Porto Velho,110001,Porto Velho,00809,1100809,Candeias do Jamari,NA
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,00908,1100908,Castanheiras,NA
11,Rondônia,1102,Ji-Paraná,110006,Vilhena,00056,1100056,Cerejeiras,NA
11,Rondônia,1102,Ji-Paraná,110006,Vilhena,00924,1100924,Chupinguaia,NA
11,Rondônia,1102,Ji-Paraná,110006,Vilhena,00064,1100064,Colorado do Oeste,NA
11,Rondônia,1102,Ji-Paraná,110006,Vilhena,00072,1100072,Corumbiara,NA
11,Rondônia,1102,Ji-Paraná,110004,Ji-Paraná,00080,1100080,Costa Marques,NA
11,Rondônia,1101,Porto Velho,110002,Ariquemes,00940,1100940,Cujubim,NA
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,00098,1100098,Espigão D'Oeste,NA
11,Rondônia,1101,Porto Velho,110003,Jaru,01005,1101005,Governador Jorge Teixeira,NA
11,Rondônia,1101,Porto Velho,110001,Porto Velho,00106,1100106,Guajará-Mirim,NA
11,Rondônia,1101,Porto Velho,110001,Porto Velho,01104,1101104,Itapuã do Oeste,NA
11,Rondônia,1101,Porto Velho,110003,Jaru,00114,1100114,Jaru,NA
11,Rondônia,1102,Ji-Paraná,110004,Ji-Paraná,00122,1100122,Ji-Paraná,NA
11,Rondônia,1101,Porto Velho,110003,Jaru,00130,1100130,Machadinho D'Oeste,NA
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,01203,1101203,Ministro Andreazza,NA
11,Rondônia,1102,Ji-Paraná,110004,Ji-Paraná,01302,1101302,Mirante da Serra,NA
11,Rondônia,1101,Porto Velho,110002,Ariquemes,01401,1101401,Monte Negro,NA
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,00148,1100148,Nova Brasilândia D'Oeste,NA
11,Rondônia,1101,Porto Velho,110001,Porto Velho,00338,1100338,Nova Mamoré,NA
11,Rondônia,1102,Ji-Paraná,110004,Ji-Paraná,01435,1101435,Nova União,NA
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,00502,1100502,Novo Horizonte do Oeste,NA
11,Rondônia,1102,Ji-Paraná,110004,Ji-Paraná,00155,1100155,Ouro Preto do Oeste,NA
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,01450,1101450,Parecis,NA
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,00189,1100189,Pimenta Bueno,NA
11,Rondônia,1102,Ji-Paraná,110006,Vilhena,01468,1101468,Pimenteiras do Oeste,NA
11,Rondônia,1101,Porto Velho,110001,Porto Velho,00205,1100205,Porto Velho,NA
11,Rondônia,1102,Ji-Paraná,110004,Ji-Paraná,00254,1100254,Presidente Médici,NA
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,01476,1101476,Primavera de Rondônia,NA
11,Rondônia,1101,Porto Velho,110002,Ariquemes,00262,1100262,Rio Crespo,NA
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,00288,1100288,Rolim de Moura,NA
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,00296,1100296,Santa Luzia D'Oeste,NA
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,01484,1101484,São Felipe D'Oeste,NA
11,Rondônia,1102,Ji-Paraná,110004,Ji-Paraná,01492,1101492,São Francisco do Guaporé,NA
11,Rondônia,1102,Ji-Paraná,110004,Ji-Paraná,00320,1100320,São Miguel do Guaporé,NA
11,Rondônia,1102,Ji-Paraná,110004,Ji-Paraná,01500,1101500,Seringueiras,NA
11,Rondônia,1102,Ji-Paraná,110004,Ji-Paraná,01559,1101559,Teixeirópolis,NA
11,Rondônia,1101,Porto Velho,110003,Jaru,01609,1101609,Theobroma,NA
11,Rondônia,1102,Ji-Paraná,110004,Ji-Paraná,01708,1101708,Urupá,NA
11,Rondônia,1101,Porto Velho,110003,Jaru,01757,1101757,Vale do Anari,NA
11,Rondônia,1102,Ji-Paraná,110004,Ji-Paraná,01807,1101807,Vale do Paraíso,NA
11,Rondônia,1102,Ji-Paraná,110006,Vilhena,00304,1100304,Vilhena,NA
12,Acre,1201,Rio Branco,120001,Rio Branco,00013,1200013,Acrelândia,NA
12,Acre,1201,Rio Branco,120002,Brasiléia,00054,1200054,Assis Brasil,NA
12,Acre,1201,Rio Branco,120002,Brasiléia,00104,1200104,Brasiléia,NA
12,Acre,1201,Rio Branco,120001,Rio Branco,00138,1200138,Bujari,NA
12,Acre,1201,Rio Branco,120001,Rio Branco,00179,1200179,Capixaba,NA
12,Acre,1202,Cruzeiro do Sul,120004,Cruzeiro do Sul,00203,1200203,Cruzeiro do Sul,NA
12,Acre,1201,Rio Branco,120002,Brasiléia,00252,1200252,Epitaciolândia,NA
12,Acre,1202,Cruzeiro do Sul,120005,Tarauacá,00302,1200302,Feijó,NA
12,Acre,1202,Cruzeiro do Sul,120005,Tarauacá,00328,1200328,Jordão,NA
12,Acre,1202,Cruzeiro do Sul,120004,Cruzeiro do Sul,00336,1200336,Mâncio Lima,NA
12,Acre,1201,Rio Branco,120003,Sena Madureira,00344,1200344,Manoel Urbano,NA
12,Acre,1202,Cruzeiro do Sul,120004,Cruzeiro do Sul,00351,1200351,Marechal Thaumaturgo,NA
12,Acre,1201,Rio Branco,120001,Rio Branco,00385,1200385,Plácido de Castro,NA
12,Acre,1201,Rio Branco,120001,Rio Branco,00807,1200807,Porto Acre,NA
12,Acre,1202,Cruzeiro do Sul,120004,Cruzeiro do Sul,00393,1200393,Porto Walter,NA
12,Acre,1201,Rio Branco,120001,Rio Branco,00401,1200401,Rio Branco,NA
12,Acre,1202,Cruzeiro do Sul,120004,Cruzeiro do Sul,00427,1200427,Rodrigues Alves,NA
12,Acre,1201,Rio Branco,120003,Sena Madureira,00435,1200435,Santa Rosa do Purus,NA
12,Acre,1201,Rio Branco,120003,Sena Madureira,00500,1200500,Sena Madureira,NA
12,Acre,1201,Rio Branco,120001,Rio Branco,00450,1200450,Senador Guiomard,NA
12,Acre,1202,Cruzeiro do Sul,120005,Tarauacá,00609,1200609,Tarauacá,NA
12,Acre,1201,Rio Branco,120002,Brasiléia,00708,1200708,Xapuri,NA
13,Amazonas,1302,Tefé,130005,Tefé,00029,1300029,Alvarães,NA
13,Amazonas,1302,Tefé,130006,Tabatinga,00060,1300060,Amaturá,NA
13,Amazonas,1301,Manaus,130004,Manacapuru,00086,1300086,Anamã,NA
13,Amazonas,1301,Manaus,130003,Coari,00102,1300102,Anori,NA
13,Amazonas,1303,Lábrea,130009,Manicoré,00144,1300144,Apuí,NA
13,Amazonas,1302,Tefé,130006,Tabatinga,00201,1300201,Atalaia do Norte,NA
13,Amazonas,1301,Manaus,130001,Manaus,00300,1300300,Autazes,NA
13,Amazonas,1301,Manaus,130002,São Gabriel da Cachoeira,00409,1300409,Barcelos,NA
13,Amazonas,1304,Parintins,130010,Parintins,00508,1300508,Barreirinha,NA
13,Amazonas,1302,Tefé,130006,Tabatinga,00607,1300607,Benjamin Constant,NA
13,Amazonas,1301,Manaus,130003,Coari,00631,1300631,Beruri,NA
13,Amazonas,1304,Parintins,130010,Parintins,00680,1300680,Boa Vista do Ramos,NA
13,Amazonas,1303,Lábrea,130008,Lábrea,00706,1300706,Boca do Acre,NA
13,Amazonas,1301,Manaus,130001,Manaus,00805,1300805,Borba,NA
13,Amazonas,1301,Manaus,130004,Manacapuru,00839,1300839,Caapiranga,NA
13,Amazonas,1303,Lábrea,130008,Lábrea,00904,1300904,Canutama,NA
13,Amazonas,1302,Tefé,130005,Tefé,01001,1301001,Carauari,NA
13,Amazonas,1301,Manaus,130001,Manaus,01100,1301100,Careiro,NA
13,Amazonas,1301,Manaus,130001,Manaus,01159,1301159,Careiro da Várzea,NA
13,Amazonas,1301,Manaus,130003,Coari,01209,1301209,Coari,NA
13,Amazonas,1301,Manaus,130003,Coari,01308,1301308,Codajás,NA
13,Amazonas,1302,Tefé,130007,Eirunepé,01407,1301407,Eirunepé,NA
13,Amazonas,1302,Tefé,130007,Eirunepé,01506,1301506,Envira,NA
13,Amazonas,1302,Tefé,130005,Tefé,01605,1301605,Fonte Boa,NA
13,Amazonas,1302,Tefé,130007,Eirunepé,01654,1301654,Guajará,NA
